,I. Aktywa trwałe,1. Rzeczowe aktywa trwałe,2. Wartość firmy,3. Wartości niematerialne,4. Należności długoterminowe,5. Długoterminowe aktywa finansowe,6.Długoterminowe rozliczenia międzyokresowe,7. Aktywa z tytułu podatku odroczonego,II. Aktywa obrotowe,1. Zapasy,2. Należności krótkoterminowe,2.1. Należności z tytułu dostaw i usług oraz pozostałe należności,2.2. Należności z tytułu podatku CIT,3. Krótkoterminowe rozliczenia międzyokresowe,4. Środki pieniężne oraz inne aktywa finansowe,a) środki pieniężne,b) inne aktywa finansowe,Aktywa razem,I. Kapitał własny ogółem,1. Kapitał podstawowy,2. Kapitał z emisji akcji powyżej ich wartości nominalnej,3. Inne składniki kapitału,4. Kapitał zapasowy,5. Kapitał z aktualizacji wyceny,6. Kapitał rezerwowy,7. Zyski zatrzymane/niepokryte straty,II. Zobowiązania ogółem,"II.1. Zobowiązania długoterminowe i rezerwy na
zobowiązania",1. Rezerwy na zobowiązania,1.1. Rezerwa na świadczenie emerytalne i podobne,2. Zobowiązania długoterminowe,II.2. Zobowiązania krótkoterminowe,1. Rezerwy na zobowiązania,1.1. Rezerwa na świadczenia emerytalne i podobne,2. Zobowiązania krótkoterminowe,2.1. Zobowiązania z tytułu dostaw i usług oraz pozostałe zobowiązania,"2.2. Zobowiązania z tytułu świadczeń pracowniczych
(podatek CIT)",2.3. Rozliczenia międzyokresowe,Pasywa razem
2018,400 787,380 500,2 008,1 000,58,1 485,58,15 678,372 888,61 476,179 292,177 810,1 482,381,131 739,130 185,1 554,773 675,670 238,7 499,18 146,-1 370,568 140,748,-,77 075,103 437,9 975,9 497,9 497,478,93 462,921,921,92 541,76 784,0,15 757,773 675
2019,405 377,385 396,2 008,2 490,81,1 452,50,13 900,389 762,63 824,175 260,170 278,4 982,383,150 295,148 970,1 325,795 139,690 602,7 499,18 146,-2 123,607 941,710,-,58 429,104 537,21 093,12 240,12 240,8 853,83 444,0,0,83 444,67 763,8 472,7 209,795 139
2020,385 964,367 898,2 008,2 553,251,210,49,12 995,404 918,116 974,142 893,141 357,1 536,453,144 598,141 870,2 728,790 882,702 443,7 49,18 146,-2 549,621 558,710,-,57 079,88 439,21 055,12 835,12 835,8 220,67 384,0,0,67 384,"52 594,00","7 130,00","7 660,00","790 882,00"
2021,367 372,354 122,2 008,852,88,576,45,9 681,446 604,104 441,142 146,140 433,1 713,625,199 392,198 387,1 005,813 976,708 526,1 499,18 146,-2 198,585 124,710,56 200,43 045,105 450,18 483,11 202,11 202,7 281,86 967,0,0,86 967,71 036,15 596,335,813 976
