,"A. Przepływy pieniężne netto z działalności
operacyjnej",I. Zysk (strata) brutto,II. Korekty razem,1. amortyzacja,2. zyski (straty) z tytułu różnic kursowych,3. podatek dochodowy zapłacony,4. odsetki i dywidendy,"5.  zysk (strata) z tytułu działalności
inwestycyjnej",6. zmiana stanu rezerw,7. zmiana stanu zapasów,8. zmiana stanu należności,"9. zmiana stanu zobowiązań
krótkoterminowych (z wyjątkiem pożyczek i
kredytów)",10. zmiana stanu rozliczeń międzyokresowych,"B. Przepływy pieniężne netto z działalności
inwestycyjnej","1. Zbycie wartości niematerialnych oraz
rzeczowych aktywów trwałych",2. Nabycie wartości niematerialnych oraz rzeczowych aktywów trwałych,3. Wpływ z aktywów finansowych (spłacone pożyczki),4. Wydatki na aktywa finansowe,5. Inne wydatki inwestycyjne,"C. Przepływy pieniężne netto z działalności
finansowej",1. Dywidendy i inne wypłaty na rzecz właścicieli,"2. Płatności zobowiązań z tytułu umów
leasingu finansowego",3. Odsetki,D. Przepływy pieniężne netto razem,E. Środki pieniężne na początek okresu,F. Środki pieniężne na koniec okresu (E+/-D)
2018,120235,95860,24375,28635,-142,-18340,-20,1647,406,921,9552,4677,-2961,-20284,29,-20332,19,0,0,-37628,-37494,-113,-21,62323,67862,130185
2019,83124,73041,10083,29521,9,-15998,371,384,914,-2348,-1114,-1695,39,-24864,218,-25082,16,0,-16,-39475,-37494,-1580,-401,18785,130185,148970
2020,55501,71545,-16044,29743,-105,-9846,437,2604,81,-53150,28751,-14951,392,-15832,120,-14059,6,-1893,-6,-46769,-44993,-1306,-470,-7100,148970,141870
2021,107665,56205,51460,29723,-80,-9921,361,146,-1204,12533,1086,19431,-615,-11997,193,-13700,2010,-500,0,-39151,-37494,-1240,-417,56517,141870,198387
