,Aktywa trwałe,Rzeczowe aktywa trwałe,Wartość firmy,Wartości niematerialne,Należności długoterminowe,Długoterminowe aktywa finansowe,Długoterminowe rozliczenia międzyokresowe,Aktywa z tytułu podatku odroczonego,Aktywa obrotowe,Zapasy,Należności krótkoterminowe,Należności z tytułu dostaw i usług oraz pozostałe należności,Należności z tytułu podatku CIT,Krótkoterminowe rozliczenia międzyokresowe,Środki pieniężne oraz inne aktywa finansowe,środki pieniężne,inne aktywa finansowe,Aktywa razem,Kapitał własny ogółem,Kapitał podstawowy,Kapitał z emisji akcji powyżej ich wartości nominalnej,Inne składniki kapitału,Kapitał zapasowy,Kapitał z aktualizacji wyceny,Kapitał rezerwowy,Zyski zatrzymane/niepokryte straty,Zobowiązania ogółem,"Zobowiązania długoterminowe i rezerwy na
zobowiązania",Rezerwy na zobowiązania,Rezerwa na świadczenie emerytalne i podobne,Zobowiązania długoterminowe,zobowiązania krótkoterminowe,Rezerwy na zobowiązania,Rezerwa na świadczenia emerytalne i podobne,Zobowiązania krótkoterminowe,Zobowiązania z tytułu dostaw i usług oraz pozostałe zobowiązania,"Zobowiązania z tytułu świadczeń pracowniczych
(podatek CIT)",Rozliczenia międzyokresowe,Pasywa razem
2018,400787,380500,2008,1000,58,1485,58,15678,372888,61476,179292,177810,1482,381,131739,130185,1554,773675,670238,7499,18146,-1370,568140,748,0,77075,103437,9975,9497,9497,478,93462,921,921,92541,76784,0,15757,773675
2019,405377,385396,2008,2490,81,1452,50,13900,389762,63824,175260,170278,4982,383,150295,148970,1325,795139,690602,7499,18146,-2123,607941,710,0,58429,104537,21093,12240,12240,8853,83444,0,0,83444,67763,8472,7209,795139
2020,385964,367898,2008,2553,251,210,49,12995,404918,116974,142893,141357,1536,453,144598,141870,2728,790882,702443,749,18146,-2549,621558,710,0,57079,88439,21055,12835,12835,8220,67384,0,0,67384,52594,7130,7660,790882
2021,367372,354122,2008,852,88,576,45,9681,446604,104441,142146,140433,1713,625,199392,198387,1005,813976,708526,1499,18146,-2198,585124,710,56200,43045,105450,18483,11202,11202,7281,86967,0,0,86967,71036,15596,335,813976
